Index,Id,Name,Desc,Type,BaseMap,MapIndex,FileID,,Icon
0,dog_boy,Benny Bark,A loyal little diner who treats every burger like a tail-wagging treasure.,Normal,burger,1,15enalhSxyu97FWpa8azr06UrdnQzaAxB,,
1,cat_chill,Coolcat Clyde,Too cool to hurry and always orders with a perfectly timed purr.,Normal,burger,1,1-i_cPPiPoOt071wDSGyqOWdaPQYheTdl,,
2,bear_cute,Honey Hug Bear,Sweet as honey and twice as cuddly when the fries arrive.,Normal,burger,1,1F0Do-D0BQjv6jAUH7_iXm2AN6BIQvM3B,,
3,rabbit_cute,Bunbun Bella,Bounces in hungry and leaves with crumbs on both cheeks.,Normal,burger,1,1PHXhJJd1O-ymCGsmWdVXwqV2PUv4qZVc,,
4,cat_cute,Kitty Cupcake,Tiny paws big appetite and absolutely no shame about extra cheese.,Normal,burger,1,1U99PGtsrZzJ7na8y2wfODZTjks-9mFPO,,
5,rat_red,Red Rat Courier,The fastest red-tailed courier in town unless someone drops a fry.,Shipper,burger,1,1rEF7SI9hqE7FpmOMrxpfQV45gjiBEbZA,,
6,pig_boss,Boss Hogsworth,Runs the lunch rush like a boardroom and demands premium pickles.,Boss,burger,1,1SdSwdru1hDuFmqYys216EK1Y46kJNKan,,
7,beaver,Brewster Beaver,Can spot a strong brew faster than a falling timber.,Normal,coffee,2,1RIcnFQY7-IMfI5QzFf15WN3MST1tkSbX,,
8,cow,Mocha Moo Rebel,Breaks cafe rules drinks bold roasts and never says moo softly.,Normal,coffee,2,1Pto4VM2n7HPApVyzfDR9waOHzAtjHkTg,,
9,squirrel,Hazel Squirrel,Carries emergency acorns and judges every latte by its foam.,Normal,coffee,2,1czd-rmVvnCXR7eZ00L4DPR6wILPObISM,,
10,tanuki,Tobi Tanuki,A cheerful trickster who somehow pays with leaves and perfect change.,Normal,coffee,2,19D-MX8WATP_MI3QFo8zW6DjRQtVGTlBz,,
11,weasel,Willow Weasel,Slips into every coffee break and somehow leaves with the fanciest pastry.,Normal,coffee,2,1V2gGw9rCR-eKLwnFO_NzD5OjnvGsOnlS,,
12,bird_green,Greenwing Bird Courier,Delivers coffee at wing speed while keeping every feather spotless.,Shipper,coffee,2,1MWHrBcQ9paL-IK6zGRENkX96U6-Z8gvT,,
13,bull,Baron Bull,A polished cafe boss who considers foam art serious business.,Boss,coffee,2,1uCqtpxYPUa5mKxUclIKCguUORDVSdUGy,,
14,eagle,Chief Eagle,Keeps the cafe orderly with eagle eyes and a badge-shaped cookie.,Boss,coffee,2,1ulKmqK-20dtBXHUXITef7ZZE8lWLTsIA,,
15,fox_lady,Kitsune Ojou,A graceful kitsune guest who orders sushi with theatrical elegance.,Normal,sushi,3,1rQ-i8l5E7ne6mv6PRQaePJDtCVTW3dZQ,,
16,elephant-seifuku,Elephant Senpai,Studies the menu diligently and never wrinkles the school uniform.,Normal,sushi,3,1hgUG3VhIPENZeBVZAPiEwDiCVdR-Ivsy,,
17,goat_blue,Aoi Yagi,This blue goat loves matcha and practices cheerful table manners.,Normal,sushi,3,1sqBzV-M_td_WEtmG9-B8jYwVzvkR5I9c,,
18,tiger,Tora-kun,A brave little tora who challenges every sushi roll to a duel.,Normal,sushi,3,1P9d3nLCt0_DXl-ujAfVAZLQZIegpT-Yy,,
19,wolf_yakuza,Ookami Oyabun,The wolf oyabun speaks softly and controls the sushi counter with one stare.,Boss,sushi,3,1zGLAMmTrzPfFfjsxI-yr2flmm_AWyLuH,,
20,shiba_sumo,Shiba Yokozuna,A shiba yokozuna who treats every sushi platter like a championship bout.,Boss,sushi,3,1Bxp3-k2xihMZypCQK5qb3JVHZvr21lQa,,
